SERIES,PROVINSI,SEKTOR,NILAI_PDRB,NILAI_PBB,is_invalid
201402,Kalimantan Barat,Tambang dan Gali,2411.76,15222326714.0,False
201501,Kalimantan Barat,Tambang dan Gali,2305.12,7924244942.0,False
201502,Kalimantan Barat,Tambang dan Gali,2317.26,12515737096.0,False
201601,Kalimantan Barat,Tambang dan Gali,2469.91,3429874982.0,False
201602,Kalimantan Barat,Tambang dan Gali,3146.99,21619484465.0,False
201701,Kalimantan Barat,Tambang dan Gali,2615.39,12039233565.0,False
201702,Kalimantan Barat,Tambang dan Gali,3101.33,10062038010.0,False
201801,Kalimantan Barat,Tambang dan Gali,2844.39,6741937617.0,False
201802,Kalimantan Barat,Tambang dan Gali,3396.66,1005347546.0,False
201901,Kalimantan Barat,Tambang dan Gali,3113.78,3129880668.0,False
201902,Kalimantan Barat,Tambang dan Gali,3558.06,27740720791.0,False
202001,Kalimantan Barat,Tambang dan Gali,3999.34,4165246407.0,False
202002,Kalimantan Barat,Tambang dan Gali,3926.96,66229878028.0,False
202101,Kalimantan Barat,Tambang dan Gali,3488.39,8023847650.0,False
202102,Kalimantan Barat,Tambang dan Gali,4647.73,49124904965.0,False
202201,Kalimantan Barat,Tambang dan Gali,4408.12,17885594383.0,False
202202,Kalimantan Barat,Tambang dan Gali,3925.76,50819189717.0,False
202301,Kalimantan Barat,Tambang dan Gali,3580.81,9079518420.0,False
202302,Kalimantan Barat,Tambang dan Gali,3441.2,78885888052.0,False
201402,Kalimantan Barat,"Tani, Hutan, dan Ikan",12319.7,103822875733.0,False
201501,Kalimantan Barat,"Tani, Hutan, dan Ikan",12962.61,9969416311.0,False
201502,Kalimantan Barat,"Tani, Hutan, dan Ikan",12609.06,140599979255.0,False
201601,Kalimantan Barat,"Tani, Hutan, dan Ikan",13477.31,20436362105.0,False
201602,Kalimantan Barat,"Tani, Hutan, dan Ikan",13141.6,193920015999.0,False
201701,Kalimantan Barat,"Tani, Hutan, dan Ikan",14427.85,17643878673.0,False
201702,Kalimantan Barat,"Tani, Hutan, dan Ikan",13929.83,187000780049.0,False
201801,Kalimantan Barat,"Tani, Hutan, dan Ikan",15446.73,59542184882.0,False
201802,Kalimantan Barat,"Tani, Hutan, dan Ikan",14762.66,276788181559.0,False
201901,Kalimantan Barat,"Tani, Hutan, dan Ikan",16236.94,16588012749.0,False
201902,Kalimantan Barat,"Tani, Hutan, dan Ikan",15719.49,316369464797.0,False
202001,Kalimantan Barat,"Tani, Hutan, dan Ikan",16521.62,20292399789.0,False
202002,Kalimantan Barat,"Tani, Hutan, dan Ikan",15849.74,287394215448.0,False
202101,Kalimantan Barat,"Tani, Hutan, dan Ikan",17762.31,40309750560.0,False
202102,Kalimantan Barat,"Tani, Hutan, dan Ikan",16049.26,281706986269.0,False
202201,Kalimantan Barat,"Tani, Hutan, dan Ikan",17167.16,37464502629.0,False
202202,Kalimantan Barat,"Tani, Hutan, dan Ikan",17380.41,311819500552.0,False
202301,Kalimantan Barat,"Tani, Hutan, dan Ikan",17416.09,10703664030.0,False
202302,Kalimantan Barat,"Tani, Hutan, dan Ikan",17692.48,353010428733.0,False
201402,Kalimantan Selatan,Tambang dan Gali,15202.22,153940467346.0,False
201501,Kalimantan Selatan,Tambang dan Gali,15124.09,10097646590.0,False
201502,Kalimantan Selatan,Tambang dan Gali,15163.61,162065257341.0,False
201601,Kalimantan Selatan,Tambang dan Gali,14786.08,76335155897.0,False
201602,Kalimantan Selatan,Tambang dan Gali,15610.46,130941065948.0,False
201701,Kalimantan Selatan,Tambang dan Gali,15472.17,29021320321.0,False
201702,Kalimantan Selatan,Tambang dan Gali,16168.89,181877857850.0,False
201801,Kalimantan Selatan,Tambang dan Gali,15914.49,44058460336.0,False
201802,Kalimantan Selatan,Tambang dan Gali,17026.46,273620870793.0,False
201901,Kalimantan Selatan,Tambang dan Gali,16314.88,41148440916.0,False
201902,Kalimantan Selatan,Tambang dan Gali,17072.7,378463662160.0,False
202001,Kalimantan Selatan,Tambang dan Gali,15863.37,64036369523.0,False
202002,Kalimantan Selatan,Tambang dan Gali,16043.04,267786798475.0,False
202101,Kalimantan Selatan,Tambang dan Gali,15905.97,71241296650.0,False
